Locke ID	Entity ID	Vernacular Name	First name	Last name	Alias (alternate spellings, etc.)	Title(s)	Title full	Gender	Birthdate	Birth Location	Deathdate	Relationships	Leaves	Religion at Birth	Converted to	Date of Conversion	Communities	expertise	Notes
18	47809	John Baron	John	Baron	John Baron			M	1670-01-01T00:00:00Z	Hanley Castle, near Upton-upon-Severn, Worcestershire, England	1722-01-01T00:00:00Z		yes	anglican			scholar	administrator, philosopher	Master of Balliol, Vice chancellor of Oxford from 1715, whig
19	47846	Mrs Anne Beavis	Mrs Anne	Beavis	Mrs Anne Beavis			F		England		47946	no				servant	administrator	Local friend of Locke
20	47851	E. Bedel	E.	Bedel	E. Bedel			F		England		48327, 48330	no				servant		"""One of Lady Ashley's female servants"" - Bradford William Short, Law And Medicine, 2004"
21	47861	Samuel Benson	Samuel	Benson	Samuel Benson			M	1647-01-01T00:00:00Z	England			yes	anglican			clergy, church_official	pupil, administrator	
22	47880	Alexander Beresford	Alexander	Beresford	Alexander Beresford			M		England			yes	anglican			professional, scholar	theologian, lawyer, latinist	
23	47883	Charles Berkeley, 2nd earl of Berkeley	Charles	Berkeley	Charles Berkeley, 2nd earl of Berkeley	knight, earl	knight, 2nd earl of Berkeley	M	1649-04-08T00:00:00Z	England	1710-09-24T00:00:00Z	47886, 48171, 47946	no	anglican			titled_nobility, FRS, secular_official, landowner	finance, diplomat, politician, administrator, pupil	son of George Berkeley, 1st earl, spent time as an envoy to Cosmo III, daughter married Robert Nelson
24	47884	Elizabeth Berkeley	Elizabeth	Berkeley	Elizabeth Berkeley, née Elizabeth Blake			F	1661-01-01T00:00:00Z	London, Greater London, England	1709-01-01T00:00:00Z	50427	no	puritan				pamphleteer, theologian	Not related to the earls of Berkeley, whig
25	47886	George Berkeley, 1st earl of Berkeley	George	Berkeley	George Berkeley, 1st earl of Berkeley	viscount, earl	viscount, 1st earl of Berkeley	M	1627-01-01T00:00:00Z	England	1698-10-14T00:00:00Z	47883, 49499, 49813, 48034, 48686	no	anglican			FRS, secular_official, professional, titled_nobility	book_collector, theologian, finance, farming, politician, administrator	father of charles
26	47888	Edward Bernard	Edward	Bernard	Edward Bernard			M	1638-05-02T00:00:00Z	Paulerspury, Northamptonshire, England	1697-01-12T00:00:00Z	50440, 48034, 50390, 48379, 49895	no	anglican			scholar, secular_official, FRS, clergy	mathematician, Arabist, translator, book_collector, astronomer, theologian	
27	47930	J. B.		J. B.	J. B.					England		47946	no						too little information to go on, although there is a theory that J. D. is a nome de plume for Margaret Beavis before she became Margaret Blomer. Otherwise, J.D. is a pseudonym for Locke. It is knotty. See John Locke: Ses Theories Politiques et leur influence en angleterre, charles bastide, slatkine, geneve 1970 p.54fn1.
28	47939	James Blair	James	Blair	James Blair			M	1656-01-01T00:00:00Z	Scotland	1743-08-01T00:00:00Z	49726, 49140, 48724	no	church_of_scotland	anglican	1685	clergy, church_official, secular_official, family	theologian, administrator, political_advocate, colonist, education	commissary' and founder of William and Mary coll
29	47946	Margaret Blomer	Margaret	Blomer	Margaret Blomer, née Beavis			F		England		47930, 47846, 47883, 48934, 48935	no	anglican			family, servant		see note for J.D. Also Locke's cousin.
30	47960	Samuel Bold	Samuel	Bold	Samuel Bold			M	1684-01-01T00:00:00Z	England	1737-08-01T00:00:00Z	48260, 48261, 48297, 48378, 48379, 48347	no	anglican			clergy, scholar	theologian, latitudinarian	defender of locke's work
31	47983	John Bonville	John	Bonville	John Bonville			M		England		50302, 49455, 48270, 48272, 48379, 50364	no	anglican			family, professional	finance, estate_manager, merchant	cousin of Locke's; worked with lyde and related to Stratton, helped run Locke's estates
32	48002	Richard Boulton	Richard	Boulton	Richard Boulton			M	1674-01-01T00:00:00Z	England	1724-01-01T00:00:00Z	48260	no	anglican			professional, scholar	physician, witchcraft	
33	48034	Robert Boyle	Robert	Boyle	Robert Boyle			M	1627-01-25T00:00:00Z	Lismore Castle, Lismore, county Waterford, Ireland		48293, 49724, 49753, 49813, 50322, 49507, 50364, 50440, 51613, 47759, 47886, 47888, 48276, 48354, 48475, 48670, 48686, 48788, 48887, 49089, 49163, 49308, 49895, 48207, 49014	no	anglican			scholar, FRS, secular_official, church_official	natural_philosopher, Arabist, chemist, philosopher, physician, latitudinarian, botanist, alchemist	
34	48045	Sir Brook Bridges, baronet	Sir Brook	Bridges, baronet	Sir Brook Bridges, baronet	baronet, knight	baronet, knight	M	1679-08-12T00:00:00Z	England	1727/8-03-16	48260	no	anglican			FRS, secular_official, professional, titled_nobility	lawyer, finance	no reln of thomas 
35	48048	Sir Thomas Bridges	Sir Thomas	Bridges	Sir Thomas Bridges	knight	knight	M	1617-01-01T00:00:00Z	Keynsham, Somerset	1707-01-01T00:00:00Z		yes	anglican			secular_official	finance	no reln of brook, one of Charles II's commissioners
36	48055	William Brockman	William	Brockman	William Brockman			M	1658-08-21T00:00:00Z	Beachborough Park, Kent, England	1741-02-02T00:00:00Z		yes	anglican			professional, secular_official	lawyer, foreign_customs, politician	
37	48063	Claude Brouchier	Claude	Brouchier	Claude Brouchier			M		France		48297	no	catholic			professional, scholar	physician, chemist	
38	48066	Mrs M. Brounower	Mrs M.	Brounower	Mrs M. Brounower née Spence			F		England		48067	no						Sylvester Brounower's wife
39	48067	Sylvester Brounower	Sylvester	Brounower	Sylvester Brounower			M		Switzerland	1699-01-01T00:00:00Z	48066, 50554, 48270, 48788, 48275, 49914, 48382	no				secular_official, scholar, servant	amanuensis, artist, administrator	locke's manservant
40	48080	Mme M. L. Brunyer	Mme M. L.	Brunyer	Mme M. L. Brunyer			F		Blois, Loir-et-Cher, France			yes				professional	merchant	refers to Locke's brother (?) & possibly knows him, but only one letter
41	48103	Mary Burges	Mary	Burges	Mary Burges			F		England		48270, 48272, 48271	no	anglican			servant	housekeeper	Housekeeper to Elizabeth Bluett in 1684, she became a member of the Clarke household in Chipley, where she corresponded with the philosopher John Locke. In 1698 she moved to London, where she probably became maid to Elizabeth Smith, Baroness Haversham (d. 1711), the wife of Maurice Thompson, 2nd Baron Haversham (1675–1745) (Bio from EE)
42	48109	Elizabeth Burnet	Elizabeth	Burnet	Elizabeth Burnet née Berkeley, also Elizabeth Blake			F	1661-11-08T00:00:00Z	England	1709-01-01T00:00:00Z	52531, 48327, 48110	no	puritan	anglican	1700	scholar	theologian, political_advocate, philanthropist	no relation of other two berkeleys, neighbour of locke's, wife of bishop of salisburym cousin to thomas
43	48110	Thomas Burnett, 2nd Laird of Kemnay	Thomas	Burnett	Thomas Burnett, 2nd laird of Kemnay	laird	2nd Laird of Kemnay	M	1656-01-01T00:00:00Z	Scotland	1689-01-01T00:00:00Z	48109, 49419, 48382, 48260, 52531	no	church_of_scotland			titled_nobility	foreign_customs, courtier, leibniz, diplomat	travelled to the court of hanover and stayed there in the mid/late- 1690s, cousin to elizabeth
44	48112	Ezekiel Burridge	Ezekiel	Burridge	Ezekiel Burridge			M	1661-01-01T00:00:00Z	Ireland	1707-01-01T00:00:00Z	48260, 49631, 48379, 49802	no	church_of_ireland			clergy, scholar	translator, theologian, latinist	sizar' of trinity
45	48113	Richard Burthogge	Richard	Burthogge	Richard Burthogge			M	1638-01-01T00:00:00Z	England	1705-01-01T00:00:00Z		yes	anglican			professional, scholar	theologian, philosopher, physician, landowner	idealist, latitudinarian, 
46	48115	Arthur Bury	Arthur	Bury	Arthur Bury			M	1624-01-01T00:00:00Z	England	1713-05-03T00:00:00Z	48327	no	anglican	freethinker, rationalist, anti-Trinitarian	1685	clergy, scholar	theologian, administrator, philanthropist	Rector of Exeter College, also excommunicated  [does that count as conversion] (1695)
47	48138	Lady Mary Calverley	Lady Mary	Calverley	Lady Mary Calverley	lady	lady	F	1655-01-01T00:00:00Z	England	1702-01-01T00:00:00Z		yes	anglican			titled_nobility		casual friend of locke's - cousin of newtons?
48	48164	William Carr	William	Carr	William Carr			M		England	1689-01-01T00:00:00Z	50531, 50254	no	anglican			professional, secular_official	lawyer	
49	48171	John Cary	John	Cary	John Cary			M	1649-03-01T00:00:00Z	Bristol, county of Bristol, England	1719/22	47883, 48775	no	anglican			professional, secular_official	economics, political_advocate, merchant, pamphleteer, administrator	Wrote against monopolies
50	48207	Jean Chardin	Jean	Chardin	Jean Chardin	knight	knight	M	1641-01-01T00:00:00Z	Paris, Ile-de-France, France	1712-12-25T00:00:00Z	48034	no	huguenot			FRS, professional	foreign_customs, diplomat, merchant	knighted by charles II though a french subject, french
51	48216	William Charleton	William	Charleton	William Charleton, William Courten			M	1642-03-28T00:00:00Z	London, Greater London, England	1702-03-29T00:00:00Z	50233, 50525, 47793, 48260, 48288, 48237	no	anglican			scholar	naturalist, collector, botanist, natural_historian, foreign_customs, numismatist	also a numismatist + medal collector
52	48237	Oliver Cheney	Oliver	Cheney	Oliver Cheney			M		Ireland		48216	no	church_of_ireland			professional	tutor	met locke in montpellier - wrote locke begging letters
53	48243	Charles Cheswell	Charles	Cheswell	Charles Cheswell			M		England		48327, 48330	no				servant, professional	administrator, estate_manager	
54	48245	Rev. Knightly Chetwood	Rev. Knightly	Chetwood	Rev. Knightly Chetwood	dean	dean of gloucester	M	1650-01-01T00:00:00Z	England	1720-01-01T00:00:00Z	48378	no	anglican			clergy, church_official, scholar	translator, poet	
55	48260	Awnsham Churchill	Awnsham	Churchill	Awnsham Churchill			M	1658-05-02T00:00:00Z	Dorchester, Dorset, England	1728-04-28T00:00:00Z	48275, 49409, 47960, 48002, 48045, 48110, 48112, 50364, 50440, 48216, 48887, 48788, 49329, 49632, 49914, 48270, 50390, 48297, 48405, 48935, 48326	no	anglican	freethinker	1682	professional, secular_official	publisher, book_seller, finance, politician	williamite, whig, distant relative of john churchill, but no siginificant connection, knew sam clarke tailor
56	48261	John Churchill, 1st duke of Marlborough	John	Churchill	John Churchill, 1st duke of Marlborough	duke	1st duke of Marlborough	M	1650-05-26T00:00:00Z	Ashe, Devon, England	1722-06-16T00:00:00Z	52531, 47960	no	anglican			soldier, titled_nobility	politician, diplomat, courtier, administrator	extremely Whiggish
57	48270	Edward Clarke	Edward	Clarke	Edward Clarke, Edward the Grave, Standard Clarke			M	1650-09-14T00:00:00Z	England	1710-10-20T00:00:00Z	48272, 48271, 48912, 50306, 50364, 48067, 50610, 48538, 48539, 48775, 47938, 49802, 48260, 48323, 48332	no	anglican			family, professional, secular_official, row_college	education, political_advocate, administrator, politician	husband of mary, whig
58	48271	Elizabeth Clarke	Elizabeth	Clarke	Elizabeth Clarke			F	1682-10-25T00:00:00Z	Chipley, Somerest, England		48270, 48272	no	anglican			family		daughter of edward and mary, married john jones, very dear to locke
59	48272	Mary Clarke	Mary	Clarke	Mary Clarke, née Mary Jepp			F		England	1705-01-01T00:00:00Z	48270, 48271, 49132, 50610, 48538, 48539, 48775, 47938	no	anglican			family, row_college	letter_writer, farming, economics, education	Cousin of Locke's, wife of Edward, together recipients of 'Of Education' letters, lifelong friends, cousins, neighbours, daughter of Elizabeth clarke
60	48274	Richard Clarke	Richard	Clarke	Richard Clarke			M		place unknown			yes				professional	farming	apparently no relative of any of the other clarkes
61	48275	Samuel Clarke	Samuel	Clarke	Samuel Clarke			M		England		48260, 49724, 48067	no				professional	tailor	friend of awnsham churchill's, did not correspond with Boyle, is not to be confused with sam clarke orientalist and theologian, or sam clarke the ethicist
62	48276	William Clarke	William	Clarke	William Clarke			M		England		48034	no	quaker	freethinker	1693	scholar	translator, theologian	
63	48288	John Cockshutt	John	Cockshutt	John Cockshutt			M	1641-01-01T00:00:00Z	England		48216	no				professional	lawyer	
64	48289	Richard Cocks	Richard	Cocks	Richard Cocks			M		England	1802-01-01T00:00:00Z		yes	anglican			secular_official	finance, administrator	"not ""Sir"" Richard cocks - mostly insignificant"
65	48293	William Cole	William	Cole	William Cole			M	1635-01-01T00:00:00Z	England	1716-01-01T00:00:00Z	48034, 50322	no	anglican			professional, scholar	physician, letter_writer	corresponded with, influential with, boyle's circle & sydenham
66	48296	Sir Peter Colleton	Sir Peter	Colleton	Sir Peter Colleton	baronet, knight	baronet, knight	M	1635-09-17T00:00:00Z	Exeter, Devon, England	1694-01-01T00:00:00Z	50546	no	anglican			professional, secular_official	landowner, politician, administrator, finance	
67	48297	Anthony Collins	Anthony	Collins	Anthony Collins			M	1676-06-21T00:00:00Z	Heston, near Hounslow, Greater London, England		47960, 48260	no	anglican	freethinker, deist, atheist, rationalist	1698	scholar	theologian, philosopher, book_collector	invented 'freethinking', lynchpin deist
68	48323	John Conyers	John	Conyers	John Conyers			M	1650-03-06T00:00:00Z	Walthamstow, London, England	1725-03-10T00:00:00Z	48379, 50233, 48270	no	anglican			professional, secular_official	lawyer, landowner, politician, finance	whig
69	48326	Anthony Ashley Cooper, 3rd earl of Shaftesbury	Anthony Ashley	Cooper	Anthony Ashley Cooper, 3rd earl of Shaftesbury	earl	3rd earl of Shaftesbury	M	1671-02-26T00:00:00Z	London, Greater London, England	1713-02-15T00:00:00Z	48327, 49914, 49915, 50251, 50554, 48330, 47749	no	anglican			secular_official, scholar, titled_nobility	philosopher, politician, landowner	whig. Relgious conversion? Served by wheelock
70	48327	Anthony Ashley Cooper, 1st earl of Shaftesbury	Anthony Ashley	Cooper	Anthony Ashley Cooper, 1st earl of Shaftesbury	earl	1st earl of Shaftesbury	M	1621-07-22T00:00:00Z	England	1683-01-21T00:00:00Z	47749, 48326, 48407, 49059, 49071, 49814, 50117, 50305, 50306, 50364, 50546, 48296, 50554, 48330, 50610, 52652, 47759, 47790, 47851, 48109, 48115, 48243	no	anglican			titled_nobility, secular_official	politician	conspirator, served by wheelock
71	48330	Margaret Cooper, countess of Shaftesbury	Margaret	Cooper	Margaret Cooper, countess of Shaftesbury, née Spencer	countess	countess of Shaftesbury	F	1627-01-01T00:00:00Z	England	1693-01-01T00:00:00Z	50554, 48327, 47749, 47851, 48243	no	anglican			titled_nobility		
72	48332	Richard Coote, 1st earl of Bellomont	Richard	Coote	Richard Coote, 1st earl of Bellomont	earl	1st earl of Bellomont	M	1636-01-01T00:00:00Z	Ireland	1701-03-05T00:00:00Z	50540, 48788, 50251, 48270	no	church_of_ireland	anglican	1680	titled_nobility, secular_official	politician, administrator	colonial governer in massachusets
73	48347	Pierre Coste	Pierre	Coste	Pierre Coste			M	1668-10-27T00:00:00Z	Uzès, Cévennes, France	1747-01-27T00:00:00Z	47960	no	reformed			scholar, FRS, church_official	translator, theologian, philosopher	locke's secretary
74	48351	John Covel	John	Covel	John Covel, Colville			M	1638-04-02T00:00:00Z	Horringer, Suffolk, England	1722-12-29T00:00:00Z	48378, 49163, 50390	no	anglican			clergy, professional, scholar	foreign_customs, theologian, linguist, diplomat	
75	48354	Thomas Coxe	Thomas	Coxe	Thomas Coxe			M	1615-01-01T00:00:00Z	England		48034	no	anglican			FRS, scholar, professional	physician, administrator	College of Physicians, phys to Parliamentary army, and to Charles II
76	48362	Joseph Cramphorne	Joseph	Cramphorne	Joseph Cramphorne			M		England		48260	no				professional, secular_official	mill owner	
77	48369	Robert Crosse	Robert	Crosse	Robert Crosse			M	1605-01-01T00:00:00Z	England	1683-12-12T00:00:00Z		yes	anglican			clergy, church_official, scholar	theologian, philosopher	
78	48370	Walter Cross	Walter	Cross	Walter Cross			M		England			yes	anglican			clergy	theologian	
79	48378	Lady Damaris Masham	Lady Damaris	Masham	Lady Damaris Masham, née Cudworth	lady	Lady Masham	F	1658-01-18T00:00:00Z	Cambridge, Cambridgeshire, England	1708-04-20T00:00:00Z	48379, 49714, 49543, 49913, 51114, 47678, 47960, 48245, 48531	no	platonist	freethinker, anglican, rationalist	1682	scholar	philosopher, letter_writer, theologian	locke lived with her for years at Oates. Mother of francis cudworth
80	48379	Francis Cudworth Masham	Francis Cudworth	Masham	Francis Cudworth Masham			M	1686-01-01T00:00:00Z	England	1731-05-25T00:00:00Z	48378, 49543, 49913, 51114, 47678, 47888, 47960, 47938, 48112, 48323	no	anglican			professional, secular_official	administrator, lawyer	son of damaris
81	48382	Alexander Cunningham	Alexander	Cunningham	Alexander Cunningham of Block			M	1654-01-01T00:00:00Z	Scotland	1730-08-31T00:00:00Z	48067, 48110	no	presbyterian			professional, scholar, secular_official	lawyer, translator, book_collector, foreign_customs, classicist, book_seller, tutor	prob studied with graevius
82	48403	Benjamin D'Aranda	Benjamin	D'Aranda	Benjamin D'Aranda			M	1667-01-01T00:00:00Z	England	1740-01-01T00:00:00Z	48405	no	reformed	anglican	1685	clergy, church_official	classicist, lawyer	half-brother of paul
83	48405	Paul D'Aranda	Paul	D'Aranda	Paul D'Aranda			M	1652-01-01T00:00:00Z	England	1712-01-01T00:00:00Z	48403, 48260	no	anglican			professional, secular_official	merchant	half-brother of benjamin, turkey merchant, knew Furly, judge
84	48407	Mrs Ellen Dare	Mrs Ellen	Dare	Mrs Ellen Dare			F		England		48327	no	anglican				political_advocate	wife of thomas dare, revolutionary/conspirator
85	48424	Thomas Davys	Thomas	Davys	Thomas Davys			M		Wales			yes	anglican			servant		welsh, servant of Pieter Adriaanszoon Verduin, locke bought him shirts
86	48425	Thomas Day	Thomas	Day	Thomas Day			M		England		48426	no						father of junior
87	48426	Thomas Day, Junior	Thomas	Day, Junior	Thomas Day, Junior			M		England		48425	no					patient	son of senior, patient of locke's
88	48427	Elizabeth Duke	Elizabeth	Duke	Elizabeth Duke			F	1679-12-06T00:00:00Z	England		48538, 48539, 50610	no	anglican					
89	48454	John Derbie	John	Derbie	John Derbie			M		England			yes						
90	48475	Edmund Dickinson	Edmund	Dickinson	Edmund Dickinson			M	1624-01-01T00:00:00Z	England	1707-04-03T00:00:00Z	48034, 49507	no	anglican			FRS, scholar, professional	physician, chemist, alchemist	
91	48489	John Dod	John	Dod	John Dod			M		England			yes	anglican					locke's neighbour in 1662
92	48493	John Dolben, archbishop of York	John	Dolben	John Dolben, archbishop of York	archbishop	archbishop of York	M	1625-01-01T00:00:00Z	England	1686-04-11T00:00:00Z		yes	anglican			military, clergy, church_official	theologian	
93	48517	Jean Baptiste Du Bos	Jean Baptiste	Du Bos	Jean Baptiste Du Bos			M	1670-12-01T00:00:00Z	Beauvais, Oise, France	1742-01-01T00:00:00Z		yes	catholic			scholar, secular_official, politician	diplomat, lawyer, theologian, historian, art_history	academy francaise member and secretary
94	48538	Isabella Duke	Isabella	Duke	Isabella Duke, née Yonge			F	1650-01-01T00:00:00Z	England	1705-01-01T00:00:00Z	48539, 50610, 48270, 48272, 48775, 48427	no	anglican			row_college	letter_writer, patient	wife of richard, friend and patient, daughter of walter
95	48539	Richard Duke	Richard	Duke	Richard Duke			M	1652-05-02T00:00:00Z	England	1733-01-01T00:00:00Z	48538, 51610, 48270, 48272, 48775, 48427	no	anglican			politician, row_college		
96	48548	Thomas Dummer	Thomas	Dummer	Thomas Dummer			M		England			yes	anglican			professional	merchant, sea_captain	
97	48627	Isabella Elphinstone, Lady Elphinstone	Isabella	Elphinstone	Isabella Elphinstone, Lady Elphinstone	lady	Lady Elphinstone	F	1654-01-01T00:00:00Z	Scotland	1706-01-01T00:00:00Z	49543	no	catholic			titled_nobility		possible conversion? Unknown - tory - scottish catholic
98	48629	Edmund Elys	Edmund	Elys	Edmund Elys			M	1634-01-01T00:00:00Z	England	1708-01-01T00:00:00Z		yes	anglican			clergy, scholar	theologian	didn't swear allegiance to W&M even though himself protestant
99	48649	Sir Stephen Evance	Sir Stephen	Evance	Sir Stephen Evance	knight	knight	M	1654-01-01T00:00:00Z	New Haven, Connecticut, United States of America	1712-01-01T00:00:00Z	50368	no	puritan			professional, politician	finance	
100	48652	Anne Evelegh	Anne	Evelegh	Anne Evelegh			F		England		50449, 49006	no	anglican					
101	48654	Lady Martha Eyre	Lady Martha	Eyre	Lady Martha Eyre	lady	Lady Eyre	F		England	1728-01-01T00:00:00Z	48655, 48656	no	puritan			titled_nobility		Wife of Sir Samuel Eyre
102	48655	Sir Robert Eyre	Sir Robert	Eyre	Sir Robert Eyre	knight	knight	M	1666-01-01T00:00:00Z	England	1735-01-01T00:00:00Z	48654, 48655	no	puritan			titled_nobility, professional, secular_official	lawyer, administrator, politician	son of martha and samuel
103	48656	Sir Samuel Eyre	Sir Samuel	Eyre	Sir Samuel Eyre	knight	knight	M	1638-01-01T00:00:00Z	England	1698-01-01T00:00:00Z	48654, 48655	no	puritan			professional, titled_nobility	administrator, lawyer	husband of martha, father of robert
104	48665	W. Fanshawe	W.	Fanshawe	W. Fanshawe					place unknown			yes						
105	48670	Nicolas Fatio de Duillier	Nicolas	Fatio de Duillier	Nicolas Fatio de Duillier			M	1664-02-16T00:00:00Z	Basle, canton of Basle, Switzerland	1753-01-01T00:00:00Z	49724, 48034	no	protestant	camisard	1706	FRS, scholar, professional	alchemist, mathematician, natural_philosopher, translator, astronomer, newton	
106	48686	John Fell, bishop of Oxford	John	Fell	John Fell, bishop of Oxford	bishop	bishop of Oxford	M	1625-01-01T00:00:00Z	England	1686-01-01T00:00:00Z	47886, 48034	no	protestant			clergy, church_official, secular_official	scholar, administrator	
107	48709	Thomas Firmin	Thomas	Firmin	Thomas Firmin			M	1632-06-01T00:00:00Z	Ipswich, Norfolk, England	1697-01-01T00:00:00Z	49507	no	puritan	freethinker	1676	professional	philanthropist, administrator, latitudinarian	related to john mapletoft
108	48724	Andrew Fletcher of Saltoun	Andrew	Fletcher of Saltoun	Andrew Fletcher of Saltoun			M	1653-01-01T00:00:00Z	Scotland	1716-01-01T00:00:00Z	48726, 47939	no	presbyterian	freethinker	1681	secular_official	politician, political_advocate, book_collector, administrator	brother of henry
109	48726	Henry Fletcher of Saltoun	Henry	Fletcher of Saltoun	Henry Fletcher of Saltoun			M	1654-01-01T00:00:00Z	Scotland		48724	no	presbyterian			professional	administrator, estate_manager	brother of andrew
110	48730	Henry Flower	Henry	Flower	Henry Flower			M		Stockwood, Worcestershire, England			yes	anglican					
111	48754	Edward Fowler, bishop of Gloucester	Edward	Fowler	Edward Fowler, bishop of Gloucester	bishop	bishop of Gloucester	M	1632-01-01T00:00:00Z	England	1714-01-01T00:00:00Z		yes	presbyterian	anglican	1662	clergy, church_official	theologian, political_advocate, latitudinarian	
112	48775	John Freke	John	Freke	John Freke			M	1652-03-18T00:00:00Z	Hilton, Dorset, England	1717-01-01T00:00:00Z	49914, 48538, 48539, 48270, 48272, 50610, 48776, 48171	no	anglican			professional, row_college	lawyer, political_advocate	member of Locke's College
113	48776	Thomas Freke	Thomas	Freke	Thomas Freke			M		place unknown		48775	no						
114	48787	Arent Furly	Arent	Furly	Arent Furly			M		England	1712-01-01T00:00:00Z	48788, 49714, 48789, 49392	no	quaker	anglican	1705	military		son of ben, secretary to general stanhope
115	48788	Benjamin Furly	Benjamin	Furly	Benjamin Furly			M	1636-01-01T00:00:00Z	England	1714-01-01T00:00:00Z	48787, 48789, 49913, 49914, 48034, 48067, 48260, 48332, 49014, 49392	no	anglican	quaker	1655	professional, scholar	theologian, estate_manager, merchant, political_advocate, book_collector, administrator, philosopher, latinist	father of arent
116	48789	Benjohan Furly	Benjohan	Furly	Benjohan Furly			M	1681-01-01T00:00:00Z	England	1738-01-01T00:00:00Z	48787, 48788	no	quaker			professional	merchant, administrator	
117	48824	Francis Gastrell, bishop of Chester	Francis	Gastrell	Francis Gastrell, bishop of Chester	bishop	bishop of Chester	M	1662-05-10T00:00:00Z	Slapton, Northamptonshire, England	1725-01-01T00:00:00Z		yes	anglican			clergy, church_official, scholar	administrator, theologian, political_advocate	
118	48832	Alexander Geekie	Alexander	Geekie	Alexander Geekie			M		England	1727-01-01T00:00:00Z		yes	anglican			FRS, professional	physician, surgeon	
119	48837	Claude Deshais Gendron	Claude Deshais	Gendron	Claude Deshais Gendron			M	1663-01-01T00:00:00Z	France	1750-01-01T00:00:00Z	50390, 48838, 47755	no	catholic			professional, scholar	physician, surgeon	great-nephew of the abbe, french
120	48838	abbé François Gendron	abbé François	Gendron	François Gendron	abbé	abbé	M	1618-04-18T00:00:00Z	Voves, Eure-et-Loir, France	1688-01-01T00:00:00Z	50390, 48837	no	jesuit			clergy, professional	physician, surgeon, philanthropist, missionary	great-uncle of charles, french
